<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20140106,000000,137.5800000,137.9100000,135.4000000,135.4700000,19231290
GAZP,D,20140108,000000,136.6200000,137.5000000,136.0000000,137.3300000,20388750
GAZP,D,20140109,000000,137.3300000,139.4900000,137.1300000,138.6800000,32864390
GAZP,D,20140110,000000,138.4800000,139.7000000,137.6000000,139.6900000,34608000
GAZP,D,20140113,000000,139.7000000,140.9400000,138.8000000,139.0800000,29628570
GAZP,D,20140114,000000,138.1600000,138.3300000,136.8000000,137.4400000,34094330
GAZP,D,20140115,000000,138.1300000,138.9000000,137.0400000,137.4400000,35760940
GAZP,D,20140116,000000,137.9000000,138.4400000,135.6000000,137.3600000,47619040
GAZP,D,20140117,000000,137.3000000,138.7100000,136.7800000,137.2200000,33402140
GAZP,D,20140120,000000,137.3500000,139.8600000,136.8200000,139.7500000,29356290
GAZP,D,20140121,000000,140.0600000,145.8100000,139.8900000,145.7000000,85590310
GAZP,D,20140122,000000,145.7200000,149.0800000,144.1800000,145.9600000,116667700
GAZP,D,20140123,000000,145.2000000,148.5000000,145.1300000,145.7500000,62273400
GAZP,D,20140124,000000,144.3200000,149.3900000,144.0600000,146.7200000,96882340
GAZP,D,20140127,000000,146.0000000,148.5800000,145.8000000,147.6400000,73723770
GAZP,D,20140128,000000,147.6700000,149.2500000,146.6400000,147.0100000,67704130
GAZP,D,20140129,000000,147.9300000,149.9500000,147.5000000,147.9000000,89958110
GAZP,D,20140130,000000,147.8000000,149.2100000,144.7200000,147.3200000,89942150
GAZP,D,20140131,000000,147.3200000,147.9700000,144.5100000,145.1600000,48791360
GAZP,D,20140203,000000,145.4000000,145.9700000,141.5000000,141.7200000,56600230
GAZP,D,20140204,000000,140.3600000,141.7200000,138.8400000,141.1500000,60527910
GAZP,D,20140205,000000,141.2900000,142.7500000,140.7200000,141.9700000,46136210
GAZP,D,20140206,000000,142.3000000,143.5000000,141.1800000,143.4800000,39337120
GAZP,D,20140207,000000,144.2600000,146.8700000,144.1000000,146.4200000,47634360
GAZP,D,20140210,000000,146.8700000,147.9000000,146.4100000,146.8900000,34146400
GAZP,D,20140211,000000,147.0300000,149.2500000,146.5100000,147.6000000,47937570
GAZP,D,20140212,000000,148.2000000,149.4800000,147.5100000,148.4700000,47655580
GAZP,D,20140213,000000,147.8100000,148.0800000,145.3300000,145.9000000,42549730
GAZP,D,20140214,000000,146.6600000,149.1000000,146.2500000,148.8400000,58987160
GAZP,D,20140217,000000,149.8500000,151.8400000,149.7100000,151.3000000,55578270
GAZP,D,20140218,000000,151.5100000,153.7800000,151.5100000,152.7500000,57413900
GAZP,D,20140219,000000,152.6500000,153.8500000,147.1600000,147.6400000,90832600
GAZP,D,20140220,000000,146.7000000,148.5000000,145.7200000,148.4000000,58786210
GAZP,D,20140221,000000,148.9600000,149.8500000,148.0000000,149.1700000,38174950
GAZP,D,20140224,000000,149.2000000,149.7900000,148.1400000,149.2300000,30450970
GAZP,D,20140225,000000,149.6000000,150.0000000,146.0200000,146.2100000,50718280
GAZP,D,20140226,000000,146.5100000,147.2600000,142.7700000,143.4900000,64411610
GAZP,D,20140227,000000,143.7500000,144.7600000,139.5000000,140.6500000,86280170
GAZP,D,20140228,000000,140.9700000,141.2000000,137.0300000,139.2000000,88046520
GAZP,D,20140303,000000,134.8800000,134.9000000,116.7900000,119.8600000,200854000
GAZP,D,20140304,000000,121.0100000,131.7200000,121.0000000,129.3500000,177782380
GAZP,D,20140305,000000,130.6400000,130.9900000,124.6200000,125.4500000,90215650
GAZP,D,20140306,000000,125.9000000,128.8600000,120.0000000,123.6200000,127826430
GAZP,D,20140307,000000,123.8800000,126.1000000,121.6700000,124.0100000,71817710
GAZP,D,20140311,000000,123.4800000,124.2900000,120.0800000,120.9000000,74169320
GAZP,D,20140312,000000,119.8500000,120.7000000,117.7600000,119.0600000,73024880
GAZP,D,20140313,000000,120.3200000,122.5600000,117.8100000,118.7000000,92175620
GAZP,D,20140314,000000,117.0300000,119.2000000,114.0000000,118.6000000,128455120
GAZP,D,20140317,000000,119.9500000,123.3300000,116.0600000,120.4600000,168584450
GAZP,D,20140318,000000,121.6600000,128.0000000,119.6200000,127.4000000,114047270
GAZP,D,20140319,000000,127.2000000,129.1800000,124.0500000,125.5500000,94870190
GAZP,D,20140320,000000,124.8400000,127.6400000,124.0000000,126.2100000,60508620
GAZP,D,20140321,000000,124.4000000,124.9500000,122.1200000,124.7100000,86305430
GAZP,D,20140324,000000,124.5800000,127.8700000,123.5300000,123.7000000,69074210
GAZP,D,20140325,000000,124.0000000,128.4300000,122.3000000,128.1000000,74756480
GAZP,D,20140326,000000,128.5500000,134.7300000,127.8600000,132.5000000,116340500
GAZP,D,20140327,000000,132.0000000,133.7000000,129.5600000,130.7800000,79335620
GAZP,D,20140328,000000,131.4000000,133.8800000,130.6000000,132.9500000,56561950
GAZP,D,20140331,000000,132.9000000,135.5000000,132.0000000,135.5000000,68876920
GAZP,D,20140401,000000,135.8000000,136.7300000,133.8400000,135.8900000,64652550
GAZP,D,20140402,000000,135.7500000,135.8500000,132.6700000,134.9000000,62244420
